Cod CIM,Denumire comerciala,DCI,Forma farmaceutica,Concentratie,Firma / tara producatoare APP,Firma / tara detinatoare APP,Cod ATC,Actiune terapeutica,Prescriptie,Nr / data ambalaj APP,Ambalaj,Volum ambalaj,Valabilitate ambalaj,Bulina,Diez,Stea,Triunghi,Dreptunghi,Data actualizare
W43451001,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/01,Cutie cu 1 flac. din sticla bruna x 5 ml conc. pt. sol. inj./perf.,5 ml,2 ani,,,,,,06.03.26
W43451002,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/02,Cutie cu 5 flac. din sticla bruna x 5 ml conc. pt. sol. inj./perf.,5 ml,2 ani,,,,,,06.03.26
W43451003,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/03,Cutie cu 1 flac. din sticla bruna x 10 ml conc. pt. sol. inj./perf.,10 ml,2 ani,,,,,,06.03.26
W43451004,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/04,Cutie cu 5 flac. din sticla bruna x 10 ml conc. pt. sol. inj./perf.,10 ml,2 ani,,,,,,06.03.26
W43451005,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/05,Cutie cu 1 flac. din sticla bruna x 20 ml conc. pt. sol. inj./perf.,20 ml,2 ani,,,,,,06.03.26
W43451006,5 - FLUOROURACIL EBEWE 50mg/ml,FLUOROURACILUM,CONC. PT. SOL. INJ./PERF.,50mg/ml,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,EBEWE PHARMA GES.M.B.H. NFG. KG - AUSTRIA,L01BC02,ANTIMETABOLITI ANALOGI AI BAZELOR PIRIMIDINICE,PR,7321/2015/06,Cutie cu 1 flac. din sticla bruna x 100 ml conc. pt. sol. inj./perf.,100 ml,2 ani,,,,,,06.03.26
W70067001,ABACAVIR AUROBINDO 300 mg,ABACAVIRUM,COMPR. FILM.,300mg,APL SWIFT SERVICES (MALTA) LIMITED - MALTA,AUROBINDO PHARMA (MALTA) LIMITED - MALTA,J05AF06,ANTIVIRALE CU ACTIUNE DIRECTA INHIB. NUCLEOZIDICI SI NUCLEOTIDICI AI REVERSTRANSCRIPTAZEI,PR,15483/2024/01,Cutie cu blist. transparent PVC/Al x 60 compr. film.,,3 ani,,,,,,06.03.26
W68224001,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/01,Cutie cu blist. PVC-Aclar/Al x 30 compr. film.,,2 ani,,,,,,06.03.26
W68224002,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/02,Cutie cu blist. PVC-Aclar/Al x 60 compr. film.,,2 ani,,,,,,06.03.26
W68224003,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/03,Cutie cu blist. PVC-Aclar/Al x 90 compr. film.,,2 ani,,,,,,06.03.26
W68224004,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/04,Cutie cu blist. PVC-PVDC/Al x 30 compr. film.,,2 ani,,,,,,06.03.26
W68224005,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/05,Cutie cu blist. PVC-PVDC/Al x 60 compr. film.,,2 ani,,,,,,06.03.26
W68224006,ABACAVIR/LAMIVUDINA MYLAN 600 mg/300 mg,ABACAVIRUM+LAMIVUDINUM,COMPR. FILM.,600mg/300mg,MYLAN S.A.S. (SAINT PRIEST) - FRANTA,MYLAN PHARMACEUTICALS LIMITED - IRLANDA,J05AR02,"ANTIVIRALE CU ACTIUNE DIRECTA ANTIVIRALE PENTRU TRATAMENTUL INFECTIEI CU HIV, COMBINATII",PR,14852/2023/06,Cutie cu blist. PVC-PVDC/Al x 90 compr. film.,,2 ani,,,,,,06.03.26
